q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp
2,4.1RO,7.1RO,1.14390273683476,0.748400397689497,0.856097263165239,0.748400397689497,0.856097263165239
2,4.18RO,3.13RO,1.52877692693051,0.308235338176916,0.471223073069491,0.308235338176916,0.471223073069491
2,4.12RO,7.1RO,1.52876208007363,0.308248043347381,0.471237919926369,0.308248043347381,0.471237919926369
2,6.16RO,3.7RO,1.5831649929515,0.263292208269075,0.416835007048497,0.263292208269075,0.416835007048497
2,4.1RO,3.13RO,1.26216329152608,0.584581023253975,0.737836708473921,0.584581023253975,0.737836708473921
2,4.1RO,6.16RO,1.80589518409883,0.107483987780849,0.194104815901173,0.107483987780849,0.194104815901173
2,4.18RO,2.11RO,1.42577142818415,0.402749389183074,0.574228571815847,0.402749389183074,0.574228571815847
2,4.12RO,6.13RO,1.62551207881703,0.23038150627309,0.374487921182969,0.23038150627309,0.374487921182969
2,6.13RO,3.13RO,1.25745877681575,0.590509396311646,0.74254122318425,0.590509396311646,0.74254122318425
2,3.13RO,4.12RO,1.59793780253299,0.25161317094425,0.402062197467012,0.25161317094425,0.402062197467012
2,4.1RO,3.7RO,1.65030383939188,0.211898047051127,0.349696160608117,0.211898047051127,0.349696160608117
2,6.13RO,4.18RO,1.52728422574234,0.30951395050774,0.472715774257665,0.30951395050774,0.472715774257664
2,4.18RO,4.1RO,1.5445453851439,0.294879398971926,0.455454614856096,0.294879398971926,0.455454614856096
2,7.1RO,3.13RO,1.14260290500202,0.750389388338259,0.857397094997982,0.750389388338259,0.857397094997982
2,7.1RO,4.12RO,1.52876208007363,0.308248043347381,0.471237919926369,0.308248043347381,0.471237919926369
2,3.13RO,7.1RO,1.14260290500202,0.750389388338259,0.857397094997982,0.750389388338259,0.857397094997982
2,4.12RO,6.13RO,1.62551207881703,0.23038150627309,0.374487921182969,0.23038150627309,0.374487921182969
2,2.11RO,4.12RO,1.54024036123654,0.298498630690572,0.45975963876346,0.298498630690572,0.45975963876346
2,6.16RO,4.1RO,1.80589518409883,0.107483987780849,0.194104815901173,0.107483987780849,0.194104815901173
2,3.13RO,2.11RO,1.83411409458787,0.090444703468354,0.165885905412129,0.090444703468354,0.165885905412128
2,3.13RO,7.1RO,1.14260290500202,0.750389388338259,0.857397094997982,0.750389388338259,0.857397094997982
2,4.1RO,4.12RO,1.55841837683346,0.283352423027625,0.44158162316654,0.283352423027625,0.44158162316654
2,2.11RO,4.1RO,1.65961506187452,0.205098727979137,0.34038493812548,0.205098727979137,0.34038493812548
2,7.1RO,2.11RO,1.85799263050668,0.0764305343098104,0.142007369493316,0.0764305343098104,0.142007369493316
2,6.16RO,3.13RO,1.83460691819072,0.0901517813812609,0.165393081809279,0.0901517813812609,0.165393081809279
2,2.11RO,6.13RO,1.66285695020397,0.202749280240055,0.337143049796028,0.202749280240055,0.337143049796028
2,6.16RO,4.18RO,1.35399525673025,0.477110048989224,0.646004743269748,0.477110048989224,0.646004743269748
2,4.18RO,6.16RO,1.35399525673025,0.477110048989224,0.646004743269748,0.477110048989224,0.646004743269748
2,3.7RO,6.13RO,1.70295324451649,0.174430364685585,0.297046755483511,0.174430364685585,0.297046755483511
2,4.12RO,7.1RO,1.52876208007363,0.308248043347381,0.471237919926369,0.308248043347381,0.471237919926369
2,3.7RO,4.12RO,1.34454095043029,0.48749653133283,0.655459049569712,0.48749653133283,0.655459049569712
2,2.11RO,4.1RO,1.65961506187452,0.205098727979137,0.34038493812548,0.205098727979137,0.34038493812548
2,6.13RO,4.1RO,1.07786263191233,0.855524016498869,0.922137368087675,0.855524016498869,0.922137368087675
